"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ABCA4",2.82375110803287,2.82248593730403,2.86770948507262,2.85685069813182,2.87247170359547,2.83218474910803,2.9022222259294,2.88512319588152
"ABCA5",9.93035028140317,9.97936879087588,9.94636078379194,9.94484897041591,10.0479645460836,10.0793106077398,10.1325017742375,10.0769367299495
"ABCA6",2.58530861203307,2.58847483922421,2.55311321155967,2.55502816598377,2.55956176780753,2.65135721321817,2.63170135926788,2.63125613143494
"ABCA7",8.54116885180432,8.67191331252429,8.5580525478535,8.65607843248887,8.61431628397084,8.58002086100358,8.53632535246391,8.59921027073133
"ABCA8",5.28907858013839,5.29997718905184,5.41104120056801,5.45425388576087,5.38981274322683,5.41932957857142,5.43927023148362,5.5369611377522
"ABCA9",3.4155138182269,3.42691343950787,3.40019346321133,3.38005901004978,3.37507413129753,3.47587026588719,3.57474340972305,3.52579022044352
"ABCB1",9.28505051570155,9.34282868122668,9.52095470588927,9.47723453802402,9.56088334502511,9.63081062957902,9.59110103372427,9.57186533216008
"ABCB10",10.1471214942166,10.2756658514206,10.5216482639057,10.5490745698553,10.6358924283242,10.6686481962537,10.6372168337976,10.6288064473091
"ABCB11",0.216276309583268,0.211045489461844,0.218583677451791,0.219242338040772,0.237264972373048,0.219226883528898,0.230455033906998,0.22340513571262
"ABCB4",6.79824048322876,6.94135259478838,7.24351996294923,7.21542596703429,7.2960996302806,6.97847087572746,6.94591161805718,7.03371075738527
"ABCB5",2.01918307535155,2.04713423135231,2.07137968493151,2.0500763197722,2.04698640483219,2.04159659202105,2.09214944494277,2.07622011478701
"ABCB6",7.82348930175064,7.94541247759752,7.98770350662583,8.04020630999823,7.92575996609015,7.91881788261281,7.91093717322976,7.95352004126635
"ABCB7",10.5067997580768,10.4930978246264,10.5236470107441,10.5128588069285,10.5566326292486,10.4001217515677,10.4069711365982,10.4081532118629
"ABCB8",10.0841794110792,10.0781916853428,10.0078271190349,10.0179109580126,9.79925197429907,10.0227787925586,9.98145037556971,10.0375235014793
"ABCB9",7.72694144628367,7.6954659487737,7.66083170243184,7.63125741754404,7.50399762178406,7.68939994015669,7.73712573164371,7.78624960227407
"ABCC1",10.8486293529682,10.8903932535274,10.8266792222182,10.8343087477164,10.7997113123977,10.7974708175046,10.8175792916387,10.8441392240621
"ABCC10",9.18023257279904,9.21662929654083,9.17178646773883,9.17626229250601,9.08035079232554,9.1703920838105,9.1612614027326,9.18106369727081
"ABCC11",3.88839196737123,3.84800956715917,3.82105502235714,3.82064110880022,3.89044200049087,3.87290249686759,3.85315150395749,3.82412067914636
"ABCC12",-0.649193980478205,-0.667243300782365,-0.659913905835554,-0.667536188476193,-0.665954831075099,-0.659413002260316,-0.65822703791201,-0.666652409729613
"ABCC13",-2.09006940467316,-2.08936221009627,-2.0897066465917,-2.08686273337733,-2.0888697761286,-2.08961295375818,-2.08940187069846,-2.08905493231316
"ABCC2",6.66635270341137,6.62742204651505,6.42781279400898,6.40399932223604,6.43405858954345,6.61322782777186,6.53917547859312,6.57469642044168
"ABCC3",1.13118614913172,1.11724310006343,1.13037124873527,1.11497201862532,1.13427321428893,1.1235052791111,1.13579654502568,1.13143298008397
"ABCC4",9.34398125647305,9.39512729620595,9.3600953644359,9.33826946332115,9.38757078673995,9.39342902053928,9.42922622476412,9.44453670940391
"ABCC5",11.135843155388,11.1049095152375,10.9296407773428,10.8581791810711,10.8676679079381,10.9769367280512,10.9547093827678,10.9121315826451
"ABCC6",6.39803466880864,6.4404259521352,6.48883972916302,6.51678048168946,6.55404129705316,6.31752747260917,6.36014818782737,6.46027134417389
"ABCC6P1",4.61240946591058,4.59383704419737,4.67225549242406,4.70658034837975,4.67402911637701,4.55812952933021,4.5892075357252,4.60342032728269
"ABCC6P2",2.73870903834807,2.77165557178095,2.81155955316079,2.78611995313585,2.81591753142951,2.75336269977854,2.75165636221509,2.77409962433291
"ABCC8",5.76502141563674,5.84138893466673,5.90960043332629,5.8791284851185,5.99002679010709,5.91473284272275,5.7746630258522,5.95591617219324
"ABCC9",1.93317840600025,1.9725836846934,1.970214797323,1.99755124686335,1.9413752873487,1.93159931696473,1.97136038411283,1.96083141880854
"ABCD1",7.94080240440968,7.90500711675219,7.77048688776558,7.93890097336457,7.67592118607029,7.84437350393841,7.92913983351895,7.85229611725793
"ABCD2",5.23513019904555,5.24717961275322,5.52717856797528,5.50348085841942,5.47045890799902,5.43527248871451,5.40979334727712,5.51107461251696
"ABCD3",11.6175413324688,11.5810403277921,11.4574519987324,11.4460334722227,11.6329693438635,11.6077499593848,11.61489874754,11.5711815626071
"ABCD4",10.2371777775211,10.2324167445739,10.176347891823,10.1932360306451,10.1275991728842,10.2327134444535,10.2069347797686,10.2966205752471
"ABCE1",12.1647431977184,12.1044904155366,11.9095704166405,11.8835428586751,12.0217365729211,12.0397720386141,12.0624768019715,11.9897853719446
"ABCF1",12.6539491886582,12.6219007853745,12.4003691826175,12.4084244723899,12.3369096193154,12.5835087513948,12.5346628827499,12.5516565707929
"ABCF2",11.9914300906619,11.9370945754202,11.5517502258509,11.5269493779939,11.511843831852,11.8381892954752,11.8124292517301,11.7762342153302
"ABCF3",10.1447378811753,10.0463584099797,9.85326892800904,9.86947363177516,9.83478710448573,9.93430335071312,9.86653251017595,9.92725394524461
"ABCG1",6.41574539378665,6.3929823423606,6.94168938205215,6.88142593909111,6.91884873309279,6.76240465274975,6.80111250085967,6.78848411581988
"ABCG2",7.57475014807996,7.60859439218061,7.58254427657559,7.57136450674153,7.69396859359309,7.79254131288033,7.88016032693885,7.80951371443223
"ABCG4",6.94412277121697,7.04004197826911,7.15029336585122,7.25657429317399,7.20799726251274,7.03730628447916,7.18013418894009,7.13351833622976
"ABCG5",0.761855377179996,0.757467450015435,0.772538893538341,0.773690834719091,0.75935861466843,0.773663794246964,0.804175370561579,0.780996870055515
"ABCG8",0.764974414970071,0.777065022111876,0.790468169647199,0.808744382427404,0.781447913002538,0.775019790997277,0.786207927586705,0.779751508494281
"ABHD1",5.29377260518191,5.4179870663359,5.5866391920601,5.54532121092313,5.4744754599934,5.39623453608734,5.3614001334255,5.47081364377515
"ABHD10",11.1489861675031,11.1507703153906,11.0205170659404,10.9999325156743,11.1450943928776,11.0823340510224,11.0916922684643,11.023795597859
"ABHD11",8.81253604488218,8.82052437349367,8.92831229124719,9.03779762253956,8.94921622095617,9.02675870034792,8.96271408132051,9.02137406946521
"ABHD11-AS1",0.829152407697642,0.837761696268198,0.833325717485259,0.817049293089932,0.820048977323443,0.834489115226148,0.817844196354188,0.886335408017357
"ABHD12",10.1398651802125,10.0079258597246,9.83667018906446,9.86055234259683,9.81046032699273,9.87693341444372,9.83934130546802,9.85113567325231
"ABHD13",9.1285843192958,9.15622686268189,9.37408385918861,9.32896735993861,9.39353611296531,9.19309722385379,9.20298541683558,9.0977734911598
"ABHD14A",6.73045021715424,6.56865039662435,6.6779186097631,6.74933502294811,6.54639049738301,6.70270116960471,6.60688344521599,6.70781822868467
"ABHD14B",8.78804739706771,8.88146465055978,9.12580702592503,9.26018847472612,9.03224752919815,8.7195827090137,8.70922536015897,8.77714843315274
"ABHD15",8.84096019011817,8.88531290881533,8.88376652978324,8.93552094797313,8.8932253614321,8.87096431677191,8.80777634805765,8.83895370533009
"ABHD16A",8.98605500008914,8.92578921946587,8.83519375575266,8.8203584036401,8.80226427735318,8.83646047360971,8.79010086659433,8.78943310818589
"ABHD16B",0.399935676752941,0.414331243159889,0.41031628323785,0.402921609057331,0.396510000301825,0.411367683981341,0.413848620391949,0.407140988444611
"ABHD2",11.1028792222106,11.1098094275413,11.0511125618337,10.9971032028487,11.0622522687105,10.9913374788015,10.9830886483109,10.9591146404097
"ABHD3",9.41917277433237,9.43874342702822,9.33632087028478,9.35133555562252,9.47516187079836,9.44931022477679,9.47114030250786,9.42754353925678
"ABHD4",8.92420607788222,8.86170271967687,8.91137509733707,8.8810966863068,8.77022347085781,8.83804603720595,8.78167035561655,8.81980752972717
"ABHD5",10.0591993719749,9.90125987499009,9.78619401057197,9.77667724116744,9.88041919764998,9.86437386844759,9.8300845781253,9.83325785578563
"ABHD6",7.90548334946523,7.87977645260356,8.01048996657162,8.01509999632218,7.97393412336017,7.91492967183871,7.86217519090618,7.88829698216254
"ABHD8",9.02912622617003,9.02091058079897,9.01130265256091,9.15489835634797,8.98686612709295,9.09970394594752,9.15524261140407,9.15385616803743
