sample,Gtype,Tx,Gtype.Tx
Sample_116498,wt,control,wt.control
Sample_116499,wt,control,wt.control
Sample_116500,wt,control,wt.control
Sample_116501,ko,control,ko.control
Sample_116502,ko,control,ko.control
Sample_116503,ko,control,ko.control
Sample_116504,wt,Tx,wt.Tx
Sample_116505,wt,Tx,wt.Tx
Sample_116506,wt,Tx,wt.Tx
Sample_116507,ko,Tx,ko.Tx
Sample_116508,ko,Tx,ko.Tx
Sample_116509,ko,Tx,ko.Tx
