gene_id	Sample_116498	Sample_116499	Sample_116500	Sample_116501	Sample_116502	Sample_116503	Sample_116504	Sample_116505	Sample_116506	Sample_116507	Sample_116508	Sample_116509
ENSMUSG00000000384	3102.56	2351	2617.36	1801	2301.04	2994	3808.04	2910.8	3188.88	3094.55	3934	3269
ENSMUSG00000000385	90	52	47	37	42	48	68	40	40	37	75	38
ENSMUSG00000000386	363.48	204	196.85	282.67	250.47	441.81	964.02	723.54	870.82	693.9	959.09	681.61
ENSMUSG00000000392	9	7	2	0	2	7	11	11	8	7	12	11
ENSMUSG00000000394	0	0	8	2	0	2	277	104	142	625	672	358
ENSMUSG00000000399	3693	2848	3482	2359	3162.99	4001	4267.99	3192	3565	5145	3974	3029
ENSMUSG00000000402	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000409	56592	44601	48038	33628	41825	49718	51366	34151	38180	54828	42288	33999
ENSMUSG00000000411	39	25	26	28	19	18	44	41	33	10	10	8
ENSMUSG00000000416	0	0	0	0	0	0	1	7	7	1	2	0
ENSMUSG00000000420	8503.23	7081.91	7252.05	5319.07	6494.78	8089.94	7612.36	7231.17	6876.78	6609.81	6911.24	5938.8
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	3519.61	2785.1	2586.83	2046.18	2379.15	2813.4	2585.54	2220.43	2164.66	2002.47	2298.34	1784.2
ENSMUSG00000000440	10	16	11	26	15	9	23	51	27	27	14	42
ENSMUSG00000000441	6856.1	5402.85	6069.2	4593.19	5240.92	6949.2	6103.29	4923.58	5130.37	5170.26	5552.65	4184.81
ENSMUSG00000000486	30077	24985	27403	21090	26062	33262	28224	18280	20674	27669	22158	19110
ENSMUSG00000000489	337	233	220	229	276	381	342	310	332	287	306	390
ENSMUSG00000000530	1895	1490	1779	608	962	1582	1173	789	821	512	396	274
ENSMUSG00000000531	446	376	362	326	421	534	595	379	459	514	434	430
ENSMUSG00000000532	4546	3501	3601	2369	2786	3590	2202	1671	1552	1303	1473	1261
ENSMUSG00000000538	2541	2141	2067	1423	1598.16	2198	1388	1223	1170.72	731.54	1154.75	1006
ENSMUSG00000000544	0	0	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000000552	26	26	17	12	13	15	78	167	242	24	131	262
ENSMUSG00000000555	724	511	568	213	356	487	506	637	688	257	408	534
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	2578.73	2014.78	2323.93	1644.58	2091.07	2697.84	2760.62	2252.19	2216.45	2363.31	2677.63	2179.48
ENSMUSG00000000562	6	8	10	0	2	0	10	36	27	4	3	15
ENSMUSG00000000563	6668.33	5451.88	6113.51	4467.69	5849.8	7693.35	7936.48	6558.84	6840.25	9486.56	7514.81	6483.76
ENSMUSG00000000567	0	0	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000000568	7562.65	6193.13	5935.9	4851.4	5401.65	6371.17	11065.11	9993.76	9683.26	8363.89	10020.68	8613.88
ENSMUSG00000000579	749.39	577.89	694.59	233.28	445.39	635.33	241.52	313.9	329.65	169.92	190.07	252.06
ENSMUSG00000000581	800	627	729	567	750	829	832	752	770	924	815	839
ENSMUSG00000000594	9773	8097	9542	7083	7970	10116	8084	6399	6245	7598	6167	6017
ENSMUSG00000000600	3413	2998	2636	1570	2219	2825	2751	3287	2734	1479	2738	2594
ENSMUSG00000000605	5440.46	4293.5	5025.86	3262.73	3936.6	5394.17	4130.39	3227.08	3230.41	2812.64	3276.11	2756.21
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	164.88	120.18	130.34	26.02	70.68	144.95	27.7	30	28	23.82	29.27	31
ENSMUSG00000000627	2708	2137	2295	1754	1616	2132	2298	1616	1640	1646	1598	1409
ENSMUSG00000000628	293	255	255	347	402	465	1314	1209	1409	1279	2199	1668
ENSMUSG00000000631	7967	6616	6185	5520	6517	7926	7201	6334	6575	5232	6219	6091
ENSMUSG00000000632	1	1	1	0	0	0	1	0	1	0	0	0
ENSMUSG00000000673	884	695	765	497	566	799	1134	876	1030	997	1125	979
ENSMUSG00000000682	29215.3	23557	26760	20836.09	26598.04	32098.02	30282	20071	22371	37391	23911	19829
ENSMUSG00000000686	838.55	680.45	709.14	435.22	501.53	846.92	523.48	432.15	405.74	471.01	372.87	316.75
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000693	54.77	39.59	46.04	14.68	33.78	41.53	23.41	31.2	48.68	40.65	21.08	41.89
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	1	0	0	2	1	41	104	84	1	2	2
ENSMUSG00000000708	3676.96	3128.96	3272.9	2062.97	2566.92	3332.95	3114.96	3111.95	2798	1683.98	2199.93	1606.98
ENSMUSG00000000711	6494.8	5336.58	5754.96	3898.61	4939.27	5847.01	3699.37	3129.42	3040.85	2766.9	2747.9	2359.6
ENSMUSG00000000724	44	49	35	24	44	46	27	23	12	11	58	26
ENSMUSG00000000730	0	0	0	0	1	0	2	5	5	1	0	0
ENSMUSG00000000731	2	3	5	4	4	11	4	5	5	1	3	4
ENSMUSG00000000732	539	424	428	600	723	1021	784	671	730	634	715	568
ENSMUSG00000000738	3261	2500	2622	1784	2229	2854	2705	2350	2398	2294	2560	1853
ENSMUSG00000000739	3	7	4	3	1	0	1	2	4	6	3	0
ENSMUSG00000000740	117815.28	94771.44	112571.47	91770.96	103239.43	129303.12	90692.36	59602.48	65101.67	115906.45	69240.95	55068.15
ENSMUSG00000000743	5874.71	4485.78	5125.64	3622.89	4592.87	5187.77	4482.85	3375.91	3672	4369.86	3794.74	3527.14
ENSMUSG00000000751	11429	9371	10826	7060	9124	11063	11561	10036	10459	12320	11535	9655
ENSMUSG00000000753	22	24	16	61	16	17	21	37	37	23	47	88
ENSMUSG00000000759	3689	2893	3249	1889	2558	3322	3806	3648	3681	2399	3352	3004
ENSMUSG00000000766	49	49	25	22	18	26	24	54	35.01	18	23	32
ENSMUSG00000000776	1289	888	996	767	856	1073	1288	967	1006	941	1141	873
ENSMUSG00000000782	104948	83550	87050	61829	72987	87868	56418	35969	38288	46582	40301	31975
ENSMUSG00000000787	16573	13334	14221	10290	12158	15350	16550	14293	13239	13599	14220	12209
ENSMUSG00000000791	1152	1339	1115	1694	1691	1808	3041	2080	2580	3128	3749	2462
ENSMUSG00000000792	2	0	4	3	0	7	1	2	3	1	2	7
ENSMUSG00000000794	12	4	6	2	4	1	1	0	7	0	0	0
ENSMUSG00000000804	4469	3812	3675	2569	3214	4096	4605	7368	5949	1996	2611	1918
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	292	241	251	161	209	209	128	134	146	128	127	136
ENSMUSG00000000817	513	546	541	645	647	1031	601	672	751	672	810	788
ENSMUSG00000000823	6240	4820	5327	3001	3568	4960	4759	3491.9	3817	2464	4009	3725
ENSMUSG00000000826	10880	8715	9112	5948	7226	10144	9020	7559	7529	5705	7849	6946
ENSMUSG00000000827	2070	1622	1925	1406	1635	2208	1935	1653	1714	1793	1728	1196
ENSMUSG00000000838	1870.62	1364.25	1546.21	1061.14	1352.32	1872.35	2001.87	2326.14	2022.6	1614.63	2093.14	1922.08
ENSMUSG00000000861	22	18	34	20	11	13	298	1040	1012	60	326	688
ENSMUSG00000000869	16	10	9	17	25	21	2	5	8	7	8	10
ENSMUSG00000000876	1398	1118	1242	719	980	1135	1013	772	895	924	848	838
ENSMUSG00000000881	770	659	708	591	612	754	481	281	268	427	326	281
ENSMUSG00000000884	551.03	440.99	432.26	328.92	336.94	518.93	411.13	308.42	320.71	425	385.86	295.62
ENSMUSG00000000889	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000901	145.14	70	98	78.08	113.08	106	27	39.05	30.08	35	48	26
ENSMUSG00000000902	3938	3234	3200	2516	3107	3858	4001	3461	3651	4261	4075	3423
ENSMUSG00000000903	6	4	9	4	5	6	6	10	15	4	6	3
ENSMUSG00000000915	3320.18	2815.64	2981.43	2974.22	3537.79	4434.77	3403.36	2940.59	3091	3164.76	4134.48	3483.55
ENSMUSG00000000916	1139.14	927.8	913.07	570.78	773.55	1037.52	1059.79	839.57	937.57	880.44	1067.37	753.57
ENSMUSG00000000934	474	325	410	288	345	453	467	329.98	370	443	422	427.95
ENSMUSG00000000938	0	0	0	0	0	0	0	0	1	0	0	5
ENSMUSG00000000942	20	11	12	4	4	9	9.92	5	9	5	3	8
ENSMUSG00000000948	1	4.77	1	1	0	11.71	8.19	5.27	8	3	8.21	5
ENSMUSG00000000957	132	162	102	73	67	49	106	186	218	35	99	193
ENSMUSG00000000958	59.65	50.51	47.36	47.63	60.63	93.76	74.55	138.09	160.51	60.37	77.8	101.99
ENSMUSG00000000959	3923.35	3140.49	3264.64	2422.37	3200.37	3880.24	3496.45	2482.91	2951.49	3056.63	3059.2	2694.01
ENSMUSG00000000976	3017	2320	2487.69	1697	1988.66	2665	2737	2081	2191	1884	2216	1872
ENSMUSG00000000982	18	23	32	49	28	44	248	286	406	740	1241	342
ENSMUSG00000000983	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000001014	13.03	14.18	16.99	31.72	24.82	13.41	140.64	352.65	333.4	23.23	25.04	47.03
ENSMUSG00000001016	4021.67	3171.28	3658.96	2652.49	3347.01	4188.69	4261.25	3677.1	3749.2	4321.54	4191.77	3068.89
ENSMUSG00000001017	9833.96	7434	8681.91	5733.93	7521	9992	8405.97	6934	7040	7685	7202.97	6167.9
ENSMUSG00000001018	1551.07	1175.93	1312.04	967.51	1249.99	1548.31	1107.75	954.9	926.8	1040.46	887.23	774.11
ENSMUSG00000001020	997	1183	1034	1822	1666	2214	2542	2522	2536	5426	3427.15	2857
ENSMUSG00000001021	12	6	11	15	18	20	10	8	10	25	18	18
ENSMUSG00000001023	0	0	0	2	0	0	1	0	0	4	1	0
ENSMUSG00000001025	1267	1293	1340	3466	2654	3823	4267	3573	4336	8133	5841	5096
ENSMUSG00000001027	8	8	12	5	6	4	4	11	5	1	6	1
ENSMUSG00000001029	3184	2317	2743	1880	2374	3006	1833	1312	1314	1664	1429	1142
ENSMUSG00000001034	1975	1409	1575	1003	1293	1585	1689	1178	1503	1083	1350	1059
ENSMUSG00000001036	36	23	26	26	32	34	27	27	41	33	48	42
ENSMUSG00000001039	14	16	8	11	24	17	30	16	22	39	23	33
ENSMUSG00000001052	6925	5722	5572	4500	4895	6363	5895	4828	4891	4161	5170	4025
ENSMUSG00000001053	590	478	654	525	535	918	688	423	525	679	628	568
ENSMUSG00000001054	2956	2357	2667	1913	2340	2962	2322	1640	1720	2126	1975	1818
ENSMUSG00000001056	2353	1999	2089	1902	2219	2918	3316	2377	2791	4556	3523	2828
ENSMUSG00000001062	1505	1186	1256	701	1064	1340	874	773	737	559	767	685
ENSMUSG00000001065	2140.81	1547.32	1835.75	957.3	1368.83	1985.28	1361.75	1174.53	1353.09	747.92	1171.83	885.5
ENSMUSG00000001076	0	0	0	0	0	0	2	1	7	2	4	5
ENSMUSG00000001082	1064	853	975	1011	1023	1312	1545	1221	1385	1237	1602	1654
ENSMUSG00000001089	642	595	524	581	468	741	1803	1435	1882	1150	1648	1347
ENSMUSG00000001095	0	0	0	0	0	0	1	1	6	0	0	0
ENSMUSG00000001098	8107.84	6289.24	7133.33	5272.9	6250.18	8002.74	5358.14	4188.87	4439.71	4653.99	4741.76	4278.01
ENSMUSG00000001100	1892	1409	1675	1112	1391	1701	1814	1445	1685	1892	1811	1637
ENSMUSG00000001103	25	13	23	7	12	24	14	12	0	3	9	9
ENSMUSG00000001105	834	627	794	704	822	1052	664	667	659	882	722	518
ENSMUSG00000001119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001120	469	327	339	293	226	348	248	172	195	219	165	159
ENSMUSG00000001123	8881	7102	7723	6350	7632	9590	9062	6657	7571	8982	7044	6441
ENSMUSG00000001127	5625	4389	4579	3246	4048	5203	4427	3562	3570	2834	3826	3279
ENSMUSG00000001128	109	76	96	45	68	124	265	603	532	46	153	226
ENSMUSG00000001131	3	0	1	7	1	5	4	3	1	1	0	1
ENSMUSG00000001134	455.72	349.55	382.77	345.09	423.44	506.86	521.28	348.76	452.64	583.19	488.6	411
ENSMUSG00000001138	3672	2838	2929	2217	2490	3150	2162	1798	1799	1520	1939	1524
ENSMUSG00000001143	1175	952	1024	632	889.99	1247	848	814	900	519	764	601
ENSMUSG00000001150	7953.71	6427.54	7075.1	4640.72	6105.25	7683.12	6870.08	5554.72	5945.4	5294.75	6373.24	5353.2
ENSMUSG00000001151	10361.68	8578.49	7965.28	5815.9	6912.14	8252.96	10303.64	8745.5	9632.84	6677.87	9812.56	8766.6
ENSMUSG00000001155	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001156	2432	2306	2141	1961	1918	2495	3979	5905	5607	1734	2214	1713
ENSMUSG00000001157	2066	1708	1829	1202	1620	1976	1361	1191	1158	1223	1214	985
ENSMUSG00000001158	1094	850	956	790	932	1316	1078	923	934	1273	1041	922
ENSMUSG00000001166	886.88	640.98	770	439.8	666.87	871.95	704.88	537.73	561.93	602.95	565.82	547.62
