gene_id	Sample_116498	Sample_116499	Sample_116500	Sample_116501	Sample_116502	Sample_116503	Sample_116504	Sample_116505	Sample_116506	Sample_116507	Sample_116508	Sample_116509
ENSMUSG00000034667	3487.88	2752.88	2837.11	2155	2591.11	3250.76	3976.2	3405.5	3557.08	3181.18	4013.79	3262.92
ENSMUSG00000034673	3774.77	2766.45	3341.54	1968.15	2626.56	3586.88	2317.28	1873.25	1983.14	1631.09	1912.15	1811.97
ENSMUSG00000034674	2471.51	1989.47	2182.35	1354.01	1762.61	2229.6	3178.06	2596.13	2746.03	2980.32	3440.12	3366.81
ENSMUSG00000034675	101	98	43	34	32	40	222	210	189	63	159	78
ENSMUSG00000034677	0	3	0	0	1	4	1	0	0	1	2	2
ENSMUSG00000034681	6662.62	5559.19	6075.62	4599.07	5322.12	7094.82	8228.85	6192.77	6859.16	7259.75	7950.25	6957.85
ENSMUSG00000034683	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034684	6	13	12	7	9	12	12	16	13	13	15	1
ENSMUSG00000034685	4	7	5	2	0	0	2	4	8	0	2	4
ENSMUSG00000034686	758	619	701	383	536	682	550	378	474	435	454	377
ENSMUSG00000034687	0	0	0	1	0	0	1	6	12	1	5	4
ENSMUSG00000034689	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034690	0	0	0	0	0	1	0	1	0	0	0	0
ENSMUSG00000034701	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034706	0	0	1	2	0	0	0	0	0	0	1	0
ENSMUSG00000034707	3188	2620	2561	2369	2535	3073	2352	2055	2036	1633	1853	1643
ENSMUSG00000034708	869	760	744	1028	705	883	1431	1839	2016	901	1024	1517
ENSMUSG00000034709	2787	2221	2703	1635	2113	2753	1909	1703	1768	1610	1727	1420
ENSMUSG00000034714	168	127	119	98	127	169	98	133	116	72	111	132
ENSMUSG00000034723	2677	2019	2313	2277	2204	2715	1693	2099	1754	1131	1392	1276
ENSMUSG00000034724	12101	10218	10554	7504	10401	12992	10014	9354	8039	8257	8395	7414
ENSMUSG00000034729	1293.61	1130	1113.63	682	882.9	1130	1045	881	935	942.77	1170	943
ENSMUSG00000034730	0	0	0	1	1	0	0	1	2	0	0	0
ENSMUSG00000034731	1052.29	946	876.42	768.06	914.81	1206.86	933.9	916.87	894.9	779.91	1240.79	853.98
ENSMUSG00000034732	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034738	5	0	2	4	4	3	6	17	22	1	7	19
ENSMUSG00000034739	72.66	79.1	35.61	41.6	36.15	19.94	49.5	54.4	44.7	27.89	51.87	53.17
ENSMUSG00000034744	786	611	554	477	517	691	432	351	422	377	420	408
ENSMUSG00000034748	1128	908	1004	709	914	1183	1011	742	903	924	885	935
ENSMUSG00000034751	2768.99	2149.91	1929.88	1727.96	1966.99	2240.93	1160.86	1092.95	978.84	858.98	998	1051
ENSMUSG00000034755	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034757	2443	1876	2054	1457	1870	2360	1720	1365	1504	1406	1420	1174
ENSMUSG00000034758	19	17	11	17	7	14	19	15	13	9	26	20
ENSMUSG00000034761	608.75	517.32	540.95	380.74	451.61	546.22	892.96	2037.87	1556.47	162.55	271.19	334.32
ENSMUSG00000034762	4	7	13	4	12	12	11	5	13	2	9	18
ENSMUSG00000034764	9	1	5	1	2	2	26	66	65	8	21	48.8
ENSMUSG00000034765	2529.76	2147.85	2250.84	1959.94	2214.95	2634.84	3627.73	2982.56	2972.43	3256.5	2521.7	2266.01
ENSMUSG00000034768	0	0	0	0	2	0	7	12	4	2	9	15
ENSMUSG00000034771	69	57	43	38	56	93	32	26	29	30	22	27
ENSMUSG00000034773	25	32	35	33	57	60	753	728	992	727	1000	855
ENSMUSG00000034774	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034777	4	9	6	12	15	10	20	12	14	113	55	40
ENSMUSG00000034780	1	6	5	14	3	14	0	4	1	3	3	11
ENSMUSG00000034781	1709	1350	1579	1036	1210	1788	1654	1211	1491	1023	1569	1333
ENSMUSG00000034783	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000034785	3	3	1	0	1	0	0	0	0	0	1	0
ENSMUSG00000034786	12870.23	9407.55	10729.46	7606.85	9177.44	11383.12	8138.72	5365.75	6350.86	6730.91	6454.85	5721.03
ENSMUSG00000034789	1293.43	971.81	979.45	746.61	833.34	915.74	1130.8	1036.08	1108.78	1030.06	960.15	952.14
ENSMUSG00000034792	548	556	550	773	775	1002	731	731	794	951	868	1055
ENSMUSG00000034793	903	734	788	738	749	1093	1011	787	835	946	1035	1001
ENSMUSG00000034795	15	15	10	13.35	24	28	6	12.59	3	16	15	14
ENSMUSG00000034796	83	54	67	111	53	59	7	12	12	9	21	17
ENSMUSG00000034799	402.41	284.13	293.92	197.54	236.13	340.28	303.93	239.42	250.83	188.99	318.16	244.98
ENSMUSG00000034800	271	215	252	149	162	263	228	182	176	127	170	100
ENSMUSG00000034801	2981	2580	2556	2359	3036	3442	2581	2450	2483	1995	2531	2048
ENSMUSG00000034807	3332.59	2486.87	3153.08	2163.46	2568.87	3830.72	3441.07	2858.58	3161.17	2868.01	3449.84	2880.02
ENSMUSG00000034810	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034813	5	10	5	2	5	5	7	7	9	1	4	9
ENSMUSG00000034818	22.92	17	10	30	16.54	26	19.19	14	15	21.47	37	46
ENSMUSG00000034820	6704.31	5140.68	5787.96	3798.88	4487.82	6226.35	6484.31	5466.64	5720.77	3933.89	5845.98	4793.17
ENSMUSG00000034825	164	121	124	26	62	79	97	271	246	27	29	62
ENSMUSG00000034826	1761.81	1350	1517.71	1074.81	1343.17	1726.81	2029.34	1652.82	1744.03	1741	1848.43	1466.77
ENSMUSG00000034829	76	52	43	40	58	72	71	54	51	66	60	34
ENSMUSG00000034832	32740	28734	26087	14698	19270	23398	21722	18282	18023	11374	17345	15664
ENSMUSG00000034833	5258.62	4498.33	4363.47	3281.07	4376.26	5442.54	3297.75	2738.61	2594.33	2878.23	2895.42	2520.54
ENSMUSG00000034837	16	12	6	23	7	19	21	19	12	60	4	6
ENSMUSG00000034839	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034842	63	34	30	112	54	86	22	32	33	165.07	28	23.02
ENSMUSG00000034845	45	37	40	20	32	33	26	42	43	7	32	74
ENSMUSG00000034848	858	729	784	514	698	763	685	562	556	756	737	626
ENSMUSG00000034850	10382	8122	9230	6223	7800	9603	6377	5383	5442	4647	4998	4121
ENSMUSG00000034853	748	662	584	808	688	784	566	633	563	479	513	542
ENSMUSG00000034854	915.4	711.46	736.42	547.47	664.98	867.61	846.76	1330.89	1282.4	485.55	776.27	894.45
ENSMUSG00000034855	110	65	38	299	158	152	247	246	271	1933.93	271	166.98
ENSMUSG00000034858	2983	2639	2499	1590	2095	2428	2258	1993	1724	1379	1725	1672
ENSMUSG00000034863	1234	1031	1015	715	919	1197	1271	889	1046	724	1164	888
ENSMUSG00000034867	3932	3034	3354	2339	2967	3997	3343	2639	2941	2623	3042	2604
ENSMUSG00000034868	11829.07	9884.23	10912.72	9490.94	10175.94	13534.93	11262.6	8110.24	7875.08	10736	8198.33	6987.03
ENSMUSG00000034871	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034872	188	172	153	51	100	128	96	91	91	31	99	116
ENSMUSG00000034875	1393.22	1013.97	1176.24	872.46	1325.03	1491.5	1566.5	1429.7	1429.71	1684.71	1402.83	1092.87
ENSMUSG00000034880	1182	968	1162	780	1171	1404	1163	872	997	1417	1086	829
ENSMUSG00000034881	3655	2846	3823	2474	2964	4084	3031	1888	2074	2400	2186	1599
ENSMUSG00000034883	6	5	10	7	9	24	162	206	203	218	199	173
ENSMUSG00000034889	3622	2563	2987	2236	2583	3435	3410	2784	3077	2632	3189	2628
ENSMUSG00000034891	4	4	7	8	5	16	1	6	1	9	6	4
ENSMUSG00000034892	87140.76	67171.84	85027.32	63795.77	74942.65	93112.66	58212.39	36879.33	40885.19	66845.9	44053.74	37655.87
ENSMUSG00000034893	3171	2579	2684	1729	2220	2991	2764	2509	2395	1946	2382	1862
ENSMUSG00000034898	17	8	19	19	15	19	6	6	8	6	6	13
ENSMUSG00000034902	9502	7560	8213	5948	7053	9215	6877	4975	5477	4609	5617	5486
ENSMUSG00000034903	532	548	450	833	710	811	1493	1282	1523	1326	1684	1558
ENSMUSG00000034906	293	265	244	226	368	433	3399	3453	3890	3917	3910	3360
ENSMUSG00000034908	15470.71	12285.15	13745.78	9213.35	11122.27	14443.34	12760	9367.66	9774.79	7860.89	10072.88	8149.65
ENSMUSG00000034910	0	0	0	0	0	0	0	0	0	2	3	0
ENSMUSG00000034911	4	8	8	4	5	3	5	7	0	5	0	0
ENSMUSG00000034912	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034913	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034917	540	406	446	607	758	839	437	335	398	464	394	420
ENSMUSG00000034918	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034919	0	0	0	1	1	0	0	1	0	0	0	1
ENSMUSG00000034923	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034926	2848	2554	2552	2218	2882	3195	2541	2143	2079	2298	3263	2918
ENSMUSG00000034928	11312	8875	9306	6924	7388	9857	8913	6821	7343	5698	7145	6592
ENSMUSG00000034930	1.8	2	3.49	3.69	0.56	2	5.23	5.03	3.37	28.14	19.85	24.57
ENSMUSG00000034931	8246	6569	6799	5084	6059	7847	6472	5018	5278	4890	5403	4533
ENSMUSG00000034932	1444	1191	1447	1075	1284	1740	1720	1191	1335	2336	1724	1639
ENSMUSG00000034936	564	545	527	691	892	1012	829	619	705	1046	747	820
ENSMUSG00000034940	9887	7989	7470	5211	6514	7641	7182	5805.99	5981	4796	6085	4783
ENSMUSG00000034947	298	228	137	240	217	269	285	293	238	209	266	145
ENSMUSG00000034949	284	266	200	200	221	222	85	89	65	116	74	49
ENSMUSG00000034951	1138	949	1011	737	894	1028	790	800	793	800	786	800
ENSMUSG00000034957	173	179	120	613	176	202	177	394	404	133	306	596
ENSMUSG00000034958	246	208	192	377	295.3	257	156	114.45	112	151	190	199
ENSMUSG00000034959	10	11	19	30	16	13	35	79	90	20	33	57
ENSMUSG00000034968	10	2	8	4	8	7	3	2	4	4	3	0
ENSMUSG00000034973	6230.22	5244.26	4830.66	2883.58	3794.5	4800.2	4368.01	4030.08	3925.64	2373.07	3508.18	2409.83
ENSMUSG00000034974	2253	1834	2047	1446	1983	2356	1665	1199	1478	1674	1558	1356.88
ENSMUSG00000034981	3	11	4	4	8	13	42	46	53	23	55	56
ENSMUSG00000034987	1948.89	1627	1440	1060	1274.89	1602.85	1726.76	1472.81	1537.73	1090.91	1639.29	1277.41
ENSMUSG00000034990	132	113	52	48	62	71	132	134	125	76	99	53
ENSMUSG00000034993	1701.68	1195.49	1303.9	1256.61	1287.78	1699.6	925.26	814.92	977.7	694.45	1054.17	1021.7
ENSMUSG00000034994	312375.22	245803.41	272276.66	230396.89	257049.36	300313.66	284728.86	198159.9	220158.92	254517.09	234618.59	197819.48
ENSMUSG00000034997	0	3	1	5	0	2	9	41	46	7	19	22
ENSMUSG00000034998	5621	4784.99	4620	3518	4147	5536	5245.98	4600	4140	3604	4312	3416
ENSMUSG00000035000	6609.11	5318.99	5957.86	3501.48	4862.4	6271.68	5699.58	4628.84	4166.7	4717.11	4752.79	3702.33
ENSMUSG00000035004	111	116	74	63	68	79	208	552	583	52	216	279
ENSMUSG00000035007	2602.03	2132.96	2107.27	1718.8	1953.84	2450.93	1697.14	1279.01	1423.56	1249.48	1448.72	1117.81
ENSMUSG00000035011	13770	10851	11836	9852	10692	13862	11395	9595	10434	7743	9095	8651
ENSMUSG00000035020	0	0	1	0	0	1	2	2	1	2	0	0
ENSMUSG00000035021	6577.49	5469.96	5471.93	4629	5589.21	7368.72	9345.46	8919.02	9119	6868.85	10288.26	7281
ENSMUSG00000035024	4638	3849	3920	2422	3207	4178	6593	6968	6966	5103	5922	4839
ENSMUSG00000035027	5849	4688	4949	4235	5106	6226	5629	4220	5006	4858	5072	4657
ENSMUSG00000035031	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035032	12.04	9.04	12.03	8	8.03	9.06	2	4.01	8	7.01	12	8
ENSMUSG00000035033	26	17	6	9	19	14	28	54	34	22	36	11
ENSMUSG00000035041	6	4	0	0	5	0	4	5	5	3	5	12
ENSMUSG00000035042	4636	4362	4507	9909	6680	8245	7921	5844	6367	10941	8061	6966
ENSMUSG00000035045	368	315	266	186	225	265	136	136	96	91	109	108
ENSMUSG00000035047	4748.3	4179.8	4159.8	2811.53	3226.11	4539.74	4333.54	3063.19	3452.42	2810.64	3741.48	2972.22
ENSMUSG00000035048	890.87	756.97	926.74	761.9	852.16	1187.44	1079.74	813.28	907.28	1314.74	924.47	911.17
ENSMUSG00000035049	3561	2856	2933	2364	2604	3355	4263	3001	3288	3304	3901	3089
ENSMUSG00000035051	2890.82	2389.84	2370.96	1685.97	2241.4	2698.79	2104.95	1738.95	1666.6	1534.64	1935.94	1488.95
ENSMUSG00000035057	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035062	161	136	160	115	144	163	76	59	37	92	63	38
ENSMUSG00000035064	1516	1204	1321.96	1137.87	1170.95	1672.95	1473	2191	2214	849.98	1212.95	1555.89
ENSMUSG00000035067	56	31.52	34	118.36	53.4	63.96	21	20.91	13.68	14.6	19.35	44
ENSMUSG00000035069	1290	1024	1105	743	969	1260	928	794	895	1036	835	684
ENSMUSG00000035078	2759	2059	2317	1674	1934	2266	2316	1863	2026	2069	2283	1917
ENSMUSG00000035085	45.97	44.57	56	39.64	45.85	63.59	98.42	103.46	120.09	105.66	82.98	94.78
ENSMUSG00000035086	5719.12	4542.83	4918.22	3780.06	4456.18	6100.85	6656.46	5703.94	5590.39	5029.97	5312.71	4189.16
ENSMUSG00000035093	6938	5947	5947	4334	5314	6519	4538	4104	3903	3439	4190	3690
ENSMUSG00000035095	7	4	1	9	3	2	5	17	11	3	20	8
ENSMUSG00000035104	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035105	311	244	255	573	590	456	125	150	131	166	249	267
ENSMUSG00000035107	253.13	213.15	155.51	199.7	189.32	203.99	294.36	366.65	297.28	157.28	311.41	292.47
ENSMUSG00000035109	19	8.16	23.68	22.57	15.86	16.49	21.89	42.56	44.15	29.74	20.18	39.83
ENSMUSG00000035112	147.56	101.72	106	63	92	114	50.76	47	76	15	40	38
ENSMUSG00000035121	116	112	97	80	60	72	29	53	42	24	46	25
ENSMUSG00000035125	601.53	555.44	566.1	340.87	506.96	603.82	609.77	546.22	534.56	485.98	661.91	548.24
ENSMUSG00000035126	288.37	245	210	115	170	249	192.73	215	192	145	170	186
ENSMUSG00000035129	2.29	5.88	4.77	1.15	3.46	6.15	1.15	0	3.46	3.51	1.15	0
ENSMUSG00000035131	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035133	1162	954	957	1114	1233	1287	426	497	325	364	689	626
ENSMUSG00000035139	2744	2154	2182	1562	1682	2288	2988	2398	2399	1878	2579	2110
ENSMUSG00000035142	236	150.79	180.84	135.76	133.61	216.92	182.94	148.84	162.24	191.68	159.92	150
ENSMUSG00000035148	0	0	0	0	0	0	0	0	0	0	5	0
ENSMUSG00000035150	11751.29	11157.18	12363.11	7259.88	8637.92	10899.12	15508.5	12808.39	13101.73	14442.22	11529.59	8534.5
ENSMUSG00000035151	965	752	682	437	657	749	496	600	550	352	450	448
ENSMUSG00000035152	14862	11774	11744	9673	11164	13751	12200	10605	10908	10900	11005	9127
ENSMUSG00000035158	155	87	111	93	75	127	58	70	59	41	53	62
ENSMUSG00000035161	4250	3555	3711.97	2528	3697	4920	3315	3468	2921	2701	2978	2528
ENSMUSG00000035164	57	56	25	102	59	78	38	87	77	21	50	116
ENSMUSG00000035165	0	0	0	2	0	0	0	3	1	0	2	0
ENSMUSG00000035168	6705	5547	5770	4074	5077	7035	5296	3896	3910	3690	4238	3734
ENSMUSG00000035171	593	419	536	350	447	533	570	522	454	657	633	475
ENSMUSG00000035172	18	29	37	19	23	56	59	39	57.89	34	57	82
ENSMUSG00000035173	1924	1607	1821	1053	1362	1864	1246	1281	1264	695	1004	763
ENSMUSG00000035177	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035179	29	19	18	8	13	20	15	10	18	2	10	15
ENSMUSG00000035181	2400	2093	2189	1949	2091	2440	2567	2917	2856	1622	2683	2296
ENSMUSG00000035183	20.35	19.16	15.54	13.49	10.54	6.4	16.93	17.65	17.84	16.16	5.9	26.89
ENSMUSG00000035184	2	2	0	2	2	5	7	39	23	1	9	21
ENSMUSG00000035186	0	0	0	0	0	0	3	2	1	1	1	0
ENSMUSG00000035187	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000035189	3	0	0	9	0	2	0	0	0	0	0	0
ENSMUSG00000035191	0	0	0	0	0	0	6	1	5	3	1	0
ENSMUSG00000035198	1627.95	1223.59	1390.5	1090.99	1259.6	1713.06	2382.83	1887.28	2316.42	2659.45	2618.16	2360.13
ENSMUSG00000035199	11847	9130	10919	8353	10407	13630	9903	6981	7159	9591	7560	6129
ENSMUSG00000035200	0	0	3	0	0	1	0	0	0	0	0	0
ENSMUSG00000035201	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035202	27387	5715	11110	5301	18499	14189	6592	4864	13882	57797	33265	6894
ENSMUSG00000035203	8200	6338	6843	4976	6026	7612	8333	7464	8270	6276	7256	6709
ENSMUSG00000035206	1273	978	1133	770	922	1146	1917	2857	2847	830	1159	1189
ENSMUSG00000035208	10460.62	7829.25	8094.79	6438.27	7324.87	9035.16	6484.15	4977.4	4629.72	4365.72	4764.58	3043.67
ENSMUSG00000035211	50.34	52	20.2	19	20.45	35	53.96	22.17	34	10	43.22	17
ENSMUSG00000035212	1344	1081	1203	1016	1147	1313	1194	1228	1216	1009	1074	1080
ENSMUSG00000035215	934.14	711.67	824.72	608.5	791.13	1078.95	1128.23	879.04	974.15	1384.92	1022.14	916.18
ENSMUSG00000035226	1	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000035227	5202.21	4378.88	4584	3637.89	4464.08	5457.99	4105.33	3581.57	3473.57	4256.17	3714.54	2832.84
ENSMUSG00000035228	19.45	37.63	28.05	5.76	23.65	35.74	5.58	6.21	5.36	5.23	13.6	2.15
ENSMUSG00000035232	1107	917	964	767	1005	1114	1337	1380	1388	1366	1389	1139
ENSMUSG00000035234	628	487	474	227	424	435	461	456	409	396	398	385
ENSMUSG00000035235	233	176	187	153	161	231	244	250	212	216	171	164
ENSMUSG00000035236	1037	945	894	474	591	783	739	812	667	385	557	564
ENSMUSG00000035237	15	16	28	11	20	37	21	25	31	11	23	19
ENSMUSG00000035238	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035239	957	843	919	933	944	924	658	696	643	589	582	551
ENSMUSG00000035242	16675.04	13859.47	15311.51	11990.34	16533.45	19625.85	17813.73	14321.93	15857.5	20529.93	14710.61	13129.22
ENSMUSG00000035245	807.1	708.91	715.57	517.89	623.81	757.68	714.86	557.9	527.87	585	676.77	491.79
ENSMUSG00000035246	83	97	70	90	111	105	331	808	658	141	228	168
ENSMUSG00000035247	22773.36	19566.64	18484	13067	15720.66	20054.62	24977.74	23665.73	22859.91	13828.64	19442	16149.11
ENSMUSG00000035248	12730.64	10428.91	10613.21	7248.1	9309.04	12587.59	11353.78	13137.26	12032.77	6914.12	8378.65	6894.52
ENSMUSG00000035258	13	23	9	11	6	3	5	4	8	1	6	5
ENSMUSG00000035262	70	55	52	70	34	53	53	30	19	31	55	48
ENSMUSG00000035266	1006	817	748	514	693	969	1149	1059	1083	781	1023	936
ENSMUSG00000035268	78	73	72	92	54	110	309	520	538	179	254	276
ENSMUSG00000035270	155	169	137	57	93	108	91	139	122	34	70	42
ENSMUSG00000035273	37	47	37	43	55	57	91	188	202	56	113	114
ENSMUSG00000035274	0	0	0	3	0	0	0	4	2	0	1	8
ENSMUSG00000035275	1648	1256	1207	1165	1177	1523	1649	1382	1173	1007	1190	1038
ENSMUSG00000035277	0	1	0	0	0	0	0	0	1	4	0	0
ENSMUSG00000035278	2109.36	1530.75	1905.65	1376.64	1771.8	2263.98	1921.23	1512.72	1649.72	2276.49	1827.74	1484.33
ENSMUSG00000035279	33	22	12	13	9	16	12	10	14	9	17	13
ENSMUSG00000035283	18	11	14	46	22	18	14	37	34	22	22	15
ENSMUSG00000035284	8598	7756	6437	4988	5888	7293	6818	7335	6200	4370	5881	5237
ENSMUSG00000035285	236	183	208	142	141	184	98	69	91	48	80	91
ENSMUSG00000035293	943	779	820	450	501	794	1085	1188	1184	840	1090	1225
ENSMUSG00000035295	43.02	23	46.01	15	20.01	26	32.01	24.01	18.01	17	19.01	13.01
ENSMUSG00000035296	7	2	0	1	2	0	2	3	5	0	2	0
ENSMUSG00000035297	2430	1900	2210	1495	2024	2487	2429	2285	2210	2498	2270	1875
ENSMUSG00000035298	132	95	97	97	114	140	68	49	63	82	87	84
ENSMUSG00000035299	789.11	561.41	746.08	1018.81	996.49	1007.85	999.08	634.04	682.66	1099.81	1061.67	792.83
ENSMUSG00000035305	0	0	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000035310	1770	1446	1626	1025	1295	1654	1881	1945	2001	1587	1753	1607
ENSMUSG00000035311	3465	3019	3084	2966	2676	3583.96	4858	4314.98	4657.99	4074	6206.98	5150
ENSMUSG00000035314	655	562	511	736	596	741	495	486	540	410	664	662
ENSMUSG00000035325	9626	7575	7990	5805	6894	8473	7485	5587	6187	6229	6644	5760
ENSMUSG00000035329	1949	1622	1859	1557	1938	2424	2152	2065	1644	1454	1669	1430
ENSMUSG00000035337	85.12	59.18	75.46	62.23	49.31	66.16	93.39	98.82	82.03	88.43	113.73	85.66
ENSMUSG00000035342	203	177.98	201	132	134.89	235	116	83.92	81.93	97	83	126.51
ENSMUSG00000035351	406	383	382	223	339	383	666	564	600	878	771	578
ENSMUSG00000035352	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035354	4475.93	3886.4	3720.48	2716.33	3346.69	4277.46	3922.87	3316.35	3155.37	3047.79	3215.99	2601.19
ENSMUSG00000035355	50	54	25	30	49	52	39	37	31	18	49	43
ENSMUSG00000035356	5127	4246	3584	3012	3151	3900	6276	5238	5044	3589	3861	2690
ENSMUSG00000035357	19	19	11	27	16	21	0	2	6	1	1	1
ENSMUSG00000035365	65	66	91	62.17	93	105	799	978.63	1061.65	935	1032.88	933
ENSMUSG00000035367	2100.18	1553.11	1792.05	1140.78	1464.96	1927.97	1740.02	1625.15	1546.86	1280.07	1550.04	1330.28
ENSMUSG00000035370	713.73	537.57	595.49	341.47	481.01	697.5	580.87	423.73	547.65	280.97	674.53	432.21
ENSMUSG00000035371	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035372	154	133	150	160	181	254	249	254	281	182	221	204
ENSMUSG00000035373	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035376	569.14	476.23	563.1	397.6	446.19	481.09	499.88	510.75	464.21	472.05	446.5	423.72
ENSMUSG00000035378	625	541	501	386	446	609	649	495	583	547	560	486
ENSMUSG00000035382	3202.75	2672.29	2784.87	1873.2	2501.41	3187.89	2978.19	2414.78	2565.49	1926.33	2615.78	2241.89
ENSMUSG00000035383	0	0	0	0.83	0	0	0	3.37	2.35	0	1.12	0
ENSMUSG00000035385	0	0	0	0	0	0	0	4	5	0	1	0
ENSMUSG00000035387	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035390	10	7.32	5	9	6.35	10.38	2	2	5.16	4	2.87	15
ENSMUSG00000035392	3594	3279	2806	2023	2353	2863	2790	2589	2730	2201	2560	2265
ENSMUSG00000035394	10	9	5	10	7	6	4	4	5	0	6	7
ENSMUSG00000035395	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035397	2970	2423	2974	2294	2572	3543	2836	2245	2543	2050	2282	1955
ENSMUSG00000035399	1742.05	1333.83	1569.67	1221.4	1444.44	2015.13	1810	1606.13	1370.07	1344.21	1242.25	893.69
ENSMUSG00000035401	5585	4700	4663	3015	3894	5036	4194	4189	3898	2551	3614	2981
ENSMUSG00000035403	112	108	62	64	55	67	98	96	76	38	79	69
ENSMUSG00000035407	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035413	2	1	4	6	1	1	5	13	18	2	9	18
ENSMUSG00000035420	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000035427	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035429	1	1	1	0	0	2	1	2	3	0	0	0
ENSMUSG00000035431	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035435	3	8.01	3	10	7.01	6.01	3	1	2	2.01	0	0
ENSMUSG00000035437	4383.93	3833.96	3572.9	2229.95	2986.98	3677.81	2636.88	2438.89	2193.95	2030.99	2369.91	1807.81
ENSMUSG00000035439	961	720	830.08	667.11	788.08	961	1061.09	1099	1094	1036	1041.37	885.5
ENSMUSG00000035441	89	66	57	129	90	63	387	1193	1015	74	203	357
ENSMUSG00000035443	1164	1013	1019	800	959	1314	1511	943	1187	1472	1371	1158
ENSMUSG00000035448	14	18	38	33	24	38	32	124	51	23	24	29
ENSMUSG00000035451	0	0	0	1	0	0	0	3	0	2	0	0
ENSMUSG00000035454	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035455	172	182	151	146	287	319	2236	2517	2621	2548	2554	2058
ENSMUSG00000035456	0	1	1	9.77	2.26	1	1	3	4.87	2	1	0
ENSMUSG00000035458	2	3	1	7	8	1	12	13	6	4	12	12
ENSMUSG00000035459	14	11	3	6	14	10	29.32	56	44	8	18.26	7
ENSMUSG00000035469	6022	4890	5291	3449	4128	5538	6494	5103	5273	4294	5066	3947
ENSMUSG00000035472	2	6	9	0	2	2	110	447	403	19	52	86.86
ENSMUSG00000035473	798	642	734	901	930	1036	493	423	350	672	468	327
ENSMUSG00000035476	1363	1191	1070	749	936	1060	1384	2054	1650	845	924	777
ENSMUSG00000035478	3903	2771	3532	2438	3259	3926	4489	3116	3755	4476	4391	3731
ENSMUSG00000035486	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000035491	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035493	6	9	4	1	4	3	296	831	1007	15	100	245
ENSMUSG00000035495	2377.74	1766.81	2135.38	1446.81	1933.14	2528.25	2166.74	1729.01	1721.79	1634.53	1896.86	1541.15
ENSMUSG00000035498	68	69	76	91	73	75	11	29	22	25	23	28
ENSMUSG00000035504	8	4	1	6	1	10	84	263	301	18	39	82
ENSMUSG00000035505	684	503	539	397	451	673	668	529	627	634	669	545
ENSMUSG00000035506	51	37	38	82	59	64	25	19	25	25	47	37
ENSMUSG00000035509	35	25	29	35	54	73	7	8	5	3	11	7
ENSMUSG00000035513	686.42	652.72	613.69	768.18	734.2	893.48	592.09	599.13	649.37	393.45	614.81	536.79
ENSMUSG00000035517	350	306	292	478	384	576	408	489	469	297	322	295
ENSMUSG00000035521	1749.65	1448.47	1688.11	1382.08	1507.24	2156.37	1812.32	1268.97	1384.61	1908.89	1586.25	1082.16
ENSMUSG00000035522	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035523	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035528	0	0	0	0	0	0	0	0	0	0	0	0
